PRISM Time Series Data
Location:  Lat: 35.3667   Lon: -101.3947   Elev: 3458ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2008-01-01 - 2020-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2021-Jul-18
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
2008-01-23,0.00,7.6,18.5,29.4,8.1,0.32,3.22
2008-01-24,0.00,9.2,26.0,42.7,12.2,0.34,6.53
2008-01-25,0.00,11.8,24.3,36.9,11.5,0.47,5.41
2008-01-26,0.00,19.7,40.2,60.8,19.8,0.36,14.92
2008-01-27,0.00,20.3,40.9,61.4,9.6,1.16,16.60
2008-01-28,0.00,29.8,50.2,70.7,28.0,3.04,20.60
2008-01-29,0.00,36.5,54.1,71.7,27.7,3.54,21.06
2008-01-30,0.00,21.8,31.4,40.9,4.1,1.25,7.34
2008-01-31,0.03,16.3,38.2,60.2,13.2,0.21,15.10
2008-02-01,0.00,14.7,27.5,40.3,9.0,0.23,6.44
2008-02-02,0.00,20.3,43.3,66.3,8.5,1.33,20.32
2008-02-03,0.00,20.5,38.4,56.3,17.2,0.75,12.18
2008-02-04,0.00,28.6,47.5,66.5,18.1,1.74,19.03
2008-02-05,0.00,29.3,50.0,70.7,24.3,0.13,21.85
2008-02-06,0.00,10.3,20.2,30.1,19.9,0.01,1.18
2008-02-07,0.00,9.0,30.5,52.0,13.8,0.28,10.82
2008-02-08,0.00,21.2,34.8,48.4,10.4,0.90,9.67
2008-02-09,0.00,20.6,38.0,55.5,13.9,1.41,12.35
2008-02-10,0.00,21.0,41.7,62.4,10.7,1.49,17.01
2008-02-11,0.00,19.8,38.6,57.5,19.1,0.76,12.27
2008-02-12,0.00,17.1,42.0,66.8,22.0,0.51,19.15
2008-02-13,0.00,23.3,38.7,54.0,17.8,1.03,11.04
2008-02-14,0.00,20.0,44.0,68.0,19.5,0.96,19.89
2008-02-15,0.00,16.8,34.2,51.7,22.3,0.44,8.91
2008-02-16,0.25,17.5,24.4,31.3,19.4,0.16,2.46
2008-02-17,0.42,28.7,35.2,41.6,34.4,0.12,1.65
2008-02-18,0.00,22.8,34.8,46.8,25.9,0.23,6.00
2008-02-19,0.00,24.3,37.5,50.7,24.0,0.58,8.27
2008-02-20,0.00,27.6,45.8,64.0,29.4,0.55,15.63
2008-02-21,0.00,20.0,26.4,32.8,23.4,0.07,0.70
2008-02-22,0.00,20.6,32.7,44.8,25.9,0.08,4.92
2008-02-23,0.00,27.6,43.7,59.8,28.5,0.26,12.83
2008-02-24,0.00,26.9,46.8,66.6,28.7,0.41,18.21
2008-02-25,0.00,27.1,50.3,73.5,29.8,0.43,23.24
2008-02-26,0.00,27.0,45.4,63.9,27.4,0.70,15.30
2008-02-27,0.00,24.0,35.9,47.8,18.3,0.76,7.89
2008-02-28,0.00,20.8,41.0,61.1,20.1,0.46,15.08
2008-02-29,0.00,31.5,50.0,68.5,21.8,1.70,20.38
2008-03-01,0.00,30.3,47.9,65.6,26.0,1.19,16.91
2008-03-02,0.00,36.3,57.6,78.9,31.8,2.09,29.66
2008-03-03,0.03,28.6,50.2,71.8,32.9,0.40,20.47
2008-03-04,0.00,17.7,29.7,41.8,17.0,0.73,5.71
2008-03-05,0.00,19.5,43.1,66.6,18.8,0.85,19.16
2008-03-06,0.00,27.5,37.1,46.7,22.7,0.98,6.48
2008-03-07,0.00,22.4,33.0,43.5,15.8,0.67,7.19
2008-03-08,0.00,20.0,32.2,44.5,16.3,0.85,6.47
2008-03-09,0.00,23.3,39.3,55.3,17.2,1.33,11.54
2008-03-10,0.00,27.0,43.6,60.1,20.1,1.59,14.12
2008-03-11,0.00,28.0,45.7,63.5,22.3,1.42,16.27
2008-03-12,0.00,32.8,50.3,67.9,26.3,1.51,18.52
2008-03-13,0.00,33.7,53.2,72.7,18.3,2.40,24.49
2008-03-14,0.00,36.2,51.1,66.0,23.8,2.37,18.02
2008-03-15,0.00,34.2,54.9,75.7,28.0,0.76,27.09
2008-03-16,0.00,34.7,46.2,57.6,31.6,0.83,10.62
2008-03-17,0.00,36.7,45.8,54.8,38.9,0.44,6.31
2008-03-18,0.00,33.7,41.4,49.0,36.4,0.24,3.14
2008-03-19,0.00,27.5,42.0,56.4,23.3,0.69,11.44
2008-03-20,0.00,28.4,48.9,69.4,15.1,1.78,22.16
2008-03-21,0.00,39.1,58.6,78.0,17.2,4.35,30.18
2008-03-22,0.00,34.7,51.2,67.7,21.3,2.41,19.93
2008-03-23,0.00,32.6,47.7,62.8,27.3,0.62,15.37
2008-03-24,0.00,29.5,39.4,49.4,26.1,0.72,7.62
2008-03-25,0.00,30.8,52.1,73.4,26.4,0.86,24.43
2008-03-26,0.00,36.2,57.7,79.2,23.0,1.57,31.63
2008-03-27,0.00,34.1,55.7,77.2,22.6,1.65,27.74
2008-03-28,0.00,35.9,55.0,74.0,32.3,0.92,25.31
2008-03-29,0.00,31.5,44.0,56.5,26.4,0.66,11.65
2008-03-30,0.00,34.3,53.8,73.3,40.6,0.31,20.58
2008-03-31,0.00,40.2,56.7,73.3,40.1,0.49,20.89
2008-04-01,0.00,26.4,50.9,75.5,25.2,0.62,27.71
2008-04-02,0.00,26.3,41.7,57.1,21.3,0.26,12.49
2008-04-03,0.00,31.5,46.4,61.2,36.6,0.67,10.79
2008-04-04,0.00,37.5,56.2,74.9,30.6,0.96,25.56
2008-04-05,0.00,36.5,50.6,64.7,25.7,0.93,17.29
2008-04-06,0.00,39.2,59.9,80.6,21.2,3.12,33.04
2008-04-07,0.00,39.5,54.5,69.6,21.8,2.71,21.14
2008-04-08,0.00,34.7,58.8,82.9,30.4,1.23,34.82
2008-04-09,0.00,35.3,49.5,63.8,33.2,0.67,14.55
2008-04-10,0.39,36.7,40.6,44.6,39.9,0.02,1.66
2008-04-11,0.00,35.3,50.7,66.0,29.4,0.92,18.17
2008-04-12,0.00,30.9,44.0,57.0,28.1,1.10,10.84
2008-04-13,0.00,30.0,45.5,61.1,20.7,1.21,15.95
2008-04-14,0.00,30.5,46.1,61.8,20.5,1.46,15.46
2008-04-15,0.00,32.4,56.8,81.1,22.0,2.25,33.15
2008-04-16,0.00,46.7,68.3,89.8,30.7,4.78,43.93
2008-04-17,0.00,39.7,64.3,88.9,30.8,1.96,43.49
2008-04-18,0.00,25.7,35.2,44.6,31.9,0.18,3.67
2008-04-19,0.00,30.9,52.1,73.4,19.8,0.87,25.56
2008-04-20,0.00,41.7,66.3,90.9,16.6,5.45,47.63
2008-04-21,0.00,43.1,67.1,91.0,18.1,5.75,47.29
2008-04-22,0.00,39.2,62.6,85.9,24.8,1.30,40.08
2008-04-23,0.00,45.2,60.3,75.4,45.9,0.75,20.78
2008-04-24,0.03,52.1,62.3,72.6,53.6,0.52,15.39
2008-04-25,0.00,45.3,67.6,89.9,27.0,1.25,46.06
2008-04-26,0.00,39.9,54.9,70.0,23.7,2.59,22.36
2008-04-27,0.00,33.3,55.5,77.6,29.8,1.10,27.78
2008-04-28,0.00,33.9,48.2,62.5,16.6,1.80,16.63
2008-04-29,0.00,38.2,59.9,81.6,11.7,4.14,35.22
2008-04-30,0.00,50.4,70.7,90.9,16.5,9.26,47.23
2008-05-01,0.00,51.3,73.3,95.2,14.5,8.78,54.69
2008-05-02,0.00,33.7,60.6,87.5,18.9,1.85,42.08
2008-05-03,0.00,32.4,51.7,71.0,17.2,1.95,23.94
2008-05-04,0.00,33.0,49.7,66.5,17.1,2.64,19.35
2008-05-05,0.00,37.3,55.8,74.3,39.6,1.98,20.78
2008-05-06,0.05,53.3,68.9,84.5,54.2,0.59,27.73
2008-05-07,0.10,53.1,67.6,82.1,54.4,0.73,22.67
2008-05-08,0.95,42.9,51.9,60.8,50.6,0.01,5.57
2008-05-09,0.00,44.6,64.4,84.2,44.9,0.35,34.24
2008-05-10,0.00,45.8,63.4,81.0,44.0,0.91,28.60
2008-05-11,0.00,35.5,57.6,79.7,32.9,1.53,28.28
2008-05-12,0.00,36.3,55.2,74.1,29.1,1.40,23.76
2008-05-13,0.00,44.8,68.3,91.9,32.4,2.93,48.46
2008-05-14,0.00,50.1,62.3,74.5,43.5,2.64,19.76
2008-05-15,0.47,45.6,54.3,63.0,46.5,0.40,9.90
2008-05-16,0.00,42.7,55.5,68.4,44.9,0.36,14.67
2008-05-17,0.00,46.1,59.8,73.6,36.6,1.78,22.87
2008-05-18,0.02,48.4,64.8,81.1,41.8,3.41,29.09
2008-05-19,0.00,49.4,70.1,90.9,35.4,3.85,44.02
2008-05-20,0.00,58.1,77.6,97.1,40.6,3.66,54.20
2008-05-21,0.00,56.8,70.4,84.1,46.4,3.78,29.55
2008-05-22,0.01,58.0,72.4,86.8,50.6,7.04,31.76
2008-05-23,0.00,63.2,77.8,92.4,44.5,4.37,47.82
2008-05-24,0.00,49.0,72.6,96.2,38.4,3.10,54.49
2008-05-25,0.00,56.7,74.2,91.6,39.2,5.41,44.09
2008-05-26,0.57,59.8,76.2,92.6,56.2,2.68,36.61
2008-05-27,0.00,54.9,75.4,95.9,52.5,1.03,50.26
2008-05-28,0.00,51.3,62.1,72.8,54.6,0.32,12.58
2008-05-29,0.00,51.5,66.3,81.0,57.7,0.22,21.54
2008-05-30,0.00,61.7,77.7,93.7,54.0,3.27,41.29
2008-05-31,0.00,59.2,79.5,99.9,43.9,4.83,59.64
2008-06-01,0.00,58.6,75.5,92.4,53.1,2.45,40.68
2008-06-02,0.00,61.3,77.3,93.4,57.6,1.81,40.39
2008-06-03,0.00,68.5,88.7,108.8,37.6,11.22,80.79
2008-06-04,0.00,58.5,81.1,103.7,30.8,9.52,68.80
2008-06-05,0.00,61.4,82.7,103.9,33.7,7.97,70.93
2008-06-06,0.00,50.4,71.9,93.4,30.2,5.62,49.17
2008-06-07,0.00,56.8,76.9,97.0,40.3,6.17,56.63
2008-06-08,0.00,71.5,86.3,101.0,58.6,7.82,56.02
2008-06-09,1.73,55.3,76.4,97.6,53.3,2.97,50.63
2008-06-10,0.00,57.0,69.0,81.0,48.8,1.14,27.32
2008-06-11,0.00,59.3,77.9,96.5,54.2,1.52,48.06
2008-06-12,0.00,54.6,80.2,105.8,43.0,5.17,72.47
2008-06-13,0.00,55.0,75.1,95.1,41.6,5.36,50.81
2008-06-14,0.00,56.8,71.6,86.5,48.5,1.23,34.68
2008-06-15,0.33,62.1,79.5,96.9,56.9,2.14,47.97
2008-06-16,0.00,63.4,82.7,102.0,49.4,4.21,63.32
2008-06-17,0.00,62.7,78.0,93.3,57.7,1.54,38.99
2008-06-18,0.06,58.6,72.5,86.5,59.2,0.70,27.94
2008-06-19,0.06,59.1,76.2,93.3,58.1,0.93,39.58
2008-06-20,0.17,55.4,74.8,94.3,58.7,0.40,40.23
2008-06-21,0.35,58.4,74.8,91.1,55.2,1.55,39.61
2008-06-22,0.03,58.2,71.3,84.3,55.1,1.04,27.73
2008-06-23,0.14,60.6,77.6,94.6,53.6,3.15,44.50
2008-06-24,0.18,58.9,76.9,95.0,53.0,1.45,44.44
2008-06-25,0.00,60.6,75.9,91.2,55.5,2.27,36.44
2008-06-26,0.00,63.9,78.4,92.9,58.8,3.24,37.49
2008-06-27,0.00,66.4,83.1,99.7,54.8,5.35,54.05
2008-06-28,0.00,65.1,84.2,103.3,52.8,4.77,65.33
2008-06-29,0.00,61.0,76.7,92.4,57.3,1.63,37.74
2008-06-30,0.00,58.0,72.1,86.2,53.8,1.82,31.46
2008-07-01,0.00,62.0,77.0,92.0,52.6,2.77,40.46
2008-07-02,0.00,63.6,78.3,93.1,55.7,3.96,40.24
2008-07-03,0.03,61.6,78.6,95.7,55.0,1.61,46.56
2008-07-04,0.11,60.4,71.6,82.9,59.0,1.05,23.04
2008-07-05,0.00,62.4,78.6,94.8,59.0,1.65,41.40
2008-07-06,0.00,64.6,81.1,97.6,56.0,3.87,48.37
2008-07-07,0.00,65.9,79.6,93.4,58.1,4.38,39.74
2008-07-08,0.00,65.1,77.8,90.4,60.1,2.38,33.37
2008-07-09,0.21,66.0,74.6,83.2,63.5,1.04,21.99
2008-07-10,0.02,65.9,72.8,79.6,64.3,0.70,16.07
2008-07-11,0.00,66.8,77.4,88.0,62.2,1.54,29.08
2008-07-12,0.00,69.9,84.0,98.2,59.8,6.85,46.03
2008-07-13,0.00,59.7,70.3,80.8,55.4,1.22,21.63
2008-07-14,0.00,60.3,71.0,81.6,62.1,0.52,18.21
2008-07-15,0.00,65.5,79.4,93.3,62.6,1.56,36.29
2008-07-16,0.05,67.4,77.6,87.8,64.4,1.77,27.17
2008-07-17,0.00,65.2,78.8,92.5,63.2,1.26,36.24
2008-07-18,0.00,66.2,81.3,96.3,59.2,2.51,43.39
2008-07-19,0.18,65.5,80.0,94.6,60.7,2.27,40.34
2008-07-20,0.00,61.8,78.4,95.1,55.0,3.52,45.37
2008-07-21,0.00,61.5,79.0,96.4,53.7,4.68,46.70
2008-07-22,0.00,63.8,81.1,98.5,53.5,5.20,51.89
2008-07-23,0.00,64.0,82.5,101.1,52.8,5.17,56.24
2008-07-24,0.00,65.4,82.2,99.0,54.0,5.42,51.76
2008-07-25,0.00,66.1,83.1,100.0,57.5,4.20,52.34
2008-07-26,0.00,65.7,81.7,97.8,59.8,3.70,46.53
2008-07-27,0.00,68.9,83.4,97.8,58.0,6.63,47.43
2008-07-28,0.00,72.9,86.7,100.5,59.5,8.45,51.12
2008-07-29,0.88,66.2,84.0,101.8,62.6,1.08,52.92
2008-07-30,0.00,64.3,77.0,89.7,63.3,0.93,29.69
2008-07-31,0.00,61.1,76.6,92.1,57.1,1.13,39.03
2008-08-01,0.00,61.7,80.2,98.7,51.8,2.77,54.31
2008-08-02,0.00,63.8,81.1,98.4,57.3,3.23,49.49
2008-08-03,0.00,65.4,81.8,98.1,54.8,4.70,49.12
2008-08-04,0.00,67.2,82.8,98.4,50.3,8.17,51.11
2008-08-05,0.00,64.7,83.2,101.7,48.5,7.26,60.36
2008-08-06,0.00,65.5,83.3,101.1,53.6,5.08,57.24
2008-08-07,0.00,61.0,78.3,95.5,57.6,0.90,44.85
2008-08-08,0.01,65.0,77.9,90.8,62.6,1.55,33.21
2008-08-09,0.19,66.4,79.2,92.0,62.3,1.30,35.19
2008-08-10,0.05,68.2,83.0,97.9,58.7,3.04,48.73
2008-08-11,0.00,66.3,73.6,80.9,64.5,1.49,15.76
2008-08-12,0.00,61.7,74.5,87.3,61.8,0.42,27.71
2008-08-13,0.20,63.1,77.5,92.0,59.2,0.76,36.81
2008-08-14,0.00,60.2,75.1,90.1,57.8,2.01,33.36
2008-08-15,0.45,59.2,76.9,94.5,57.4,0.70,42.34
2008-08-16,0.14,59.4,69.9,80.3,59.7,0.32,20.21
2008-08-17,1.13,61.0,63.9,66.9,61.1,0.41,4.33
2008-08-18,0.59,60.6,64.2,67.7,61.5,0.50,3.51
2008-08-19,0.49,58.2,65.6,72.9,59.5,0.32,10.29
2008-08-20,0.01,56.7,63.6,70.5,59.5,0.04,8.23
2008-08-21,0.00,58.5,69.6,80.6,58.8,0.55,21.14
2008-08-22,0.00,62.1,75.3,88.6,61.7,1.26,29.34
2008-08-23,0.00,64.0,79.3,94.7,59.4,2.17,41.33
2008-08-24,0.00,62.6,76.9,91.3,60.6,1.47,34.58
2008-08-25,0.00,63.2,76.1,89.0,60.4,2.11,30.80
2008-08-26,0.00,61.4,73.5,85.6,61.3,0.92,23.74
2008-08-27,0.00,62.4,76.7,91.1,59.5,2.31,34.72
2008-08-28,0.00,65.9,79.8,93.7,59.6,3.67,38.82
2008-08-29,0.21,63.5,78.6,93.8,59.8,2.88,38.35
2008-08-30,0.03,60.5,72.6,84.6,61.9,0.49,21.25
2008-08-31,0.01,60.5,72.9,85.3,61.2,0.39,24.79
2008-09-01,0.00,61.4,73.0,84.6,60.5,0.76,24.23
2008-09-02,0.00,62.8,75.8,88.9,60.0,1.72,30.87
2008-09-03,0.00,51.8,64.5,77.2,54.8,0.79,15.06
2008-09-04,0.00,47.1,55.3,63.5,49.6,0.50,7.12
2008-09-05,0.00,47.7,63.2,78.8,54.8,0.63,18.98
2008-09-06,0.00,53.3,69.1,84.9,56.2,0.43,24.71
2008-09-07,0.00,53.6,68.2,82.9,55.9,0.01,22.93
2008-09-08,0.00,56.7,72.3,87.8,53.0,0.49,33.45
2008-09-09,0.00,49.4,62.0,74.6,52.4,0.37,15.30
2008-09-10,0.00,49.4,62.9,76.4,55.4,0.00,16.53
2008-09-11,0.00,58.4,70.0,81.6,62.0,0.23,19.23
2008-09-12,0.40,63.3,69.3,75.3,63.4,0.42,11.29
2008-09-13,0.15,62.1,69.3,76.6,63.6,0.15,11.42
2008-09-14,0.00,51.7,66.3,80.9,54.9,0.12,22.82
2008-09-15,0.00,47.0,58.7,70.5,45.6,1.16,15.55
2008-09-16,0.00,46.0,61.5,76.9,47.2,0.83,21.25
2008-09-17,0.00,51.2,67.8,84.4,50.0,1.15,30.01
2008-09-18,0.00,48.3,66.1,83.9,47.7,0.91,29.84
2008-09-19,0.00,49.3,64.8,80.3,45.5,0.88,27.00
2008-09-20,0.00,49.5,66.2,82.9,49.0,0.75,28.50
2008-09-21,0.00,53.6,69.1,84.5,51.5,1.47,29.49
2008-09-22,0.00,54.3,70.0,85.6,52.3,1.42,30.12
2008-09-23,0.00,55.5,70.3,85.0,52.1,1.67,29.44
2008-09-24,0.00,55.9,71.0,86.2,53.4,1.61,30.55
2008-09-25,0.00,52.9,69.7,86.6,53.9,0.79,29.83
2008-09-26,0.00,50.4,68.0,85.6,50.8,0.88,30.82
2008-09-27,0.00,51.6,69.2,86.8,47.1,2.14,34.23
2008-09-28,0.00,49.8,69.3,88.8,44.8,2.15,38.60
2008-09-29,0.00,49.3,67.7,86.1,44.8,2.16,34.27
2008-09-30,0.00,45.7,62.3,78.9,44.4,1.92,23.13
2008-10-01,0.00,45.6,66.4,87.3,42.1,2.42,36.65
2008-10-02,0.00,47.2,65.3,83.4,41.6,2.27,30.92
2008-10-03,0.02,48.9,65.3,81.6,45.1,2.32,26.99
2008-10-04,0.00,51.8,71.2,90.7,40.6,2.68,42.80
2008-10-05,0.18,56.5,72.5,88.5,47.8,3.10,36.29
2008-10-06,1.34,53.0,57.4,61.9,55.1,0.17,3.20
2008-10-07,0.00,44.6,56.9,69.2,49.4,0.30,12.18
2008-10-08,0.00,44.3,58.9,73.6,41.5,0.84,20.88
2008-10-09,0.00,46.7,65.2,83.7,44.8,1.73,30.58
2008-10-10,0.00,48.9,64.5,80.1,45.6,1.71,25.54
2008-10-11,0.00,50.8,69.3,87.8,48.7,2.49,36.57
2008-10-12,0.22,59.0,62.5,65.9,59.1,0.98,4.95
2008-10-13,0.64,45.0,55.2,65.4,55.2,0.32,3.04
2008-10-14,0.02,43.2,46.3,49.3,43.7,0.27,3.20
2008-10-15,1.32,38.5,41.3,44.1,41.2,0.08,0.95
2008-10-16,0.00,36.5,49.4,62.3,42.7,0.15,9.52
2008-10-17,0.00,36.5,51.0,65.5,41.4,0.17,12.65
2008-10-18,0.00,41.6,56.6,71.6,43.4,0.48,17.60
2008-10-19,0.00,44.1,60.9,77.8,47.2,0.71,22.14
2008-10-20,0.00,45.2,63.7,82.3,42.9,1.07,30.04
2008-10-21,0.40,45.5,56.1,66.7,50.5,0.05,9.78
2008-10-22,0.04,43.0,58.5,74.0,50.3,0.00,15.76
2008-10-23,0.00,33.2,42.2,51.1,27.9,1.38,8.05
2008-10-24,0.00,28.1,41.9,55.8,25.5,0.37,12.04
2008-10-25,0.00,28.4,48.0,67.5,30.3,0.50,17.80
2008-10-26,0.00,35.1,54.4,73.8,35.3,1.20,22.36
2008-10-27,0.00,28.8,45.3,61.8,30.6,0.75,12.63
2008-10-28,0.00,28.6,45.4,62.2,27.7,0.77,13.67
2008-10-29,0.00,36.1,53.8,71.4,33.3,1.13,19.15
2008-10-30,0.00,39.0,58.8,78.5,38.9,1.10,26.99
2008-10-31,0.00,45.6,64.3,83.0,38.1,2.34,32.68
2008-11-01,0.00,45.3,62.2,79.1,38.3,2.11,27.85
2008-11-02,0.00,45.5,62.6,79.7,42.2,1.51,26.20
2008-11-03,0.00,49.1,64.9,80.8,38.4,2.52,30.22
2008-11-04,0.00,48.3,61.8,75.3,48.8,0.59,19.33
2008-11-05,0.00,48.4,64.1,79.8,49.4,0.42,24.93
2008-11-06,0.00,33.2,51.1,69.0,29.4,1.42,19.27
2008-11-07,0.00,26.9,43.1,59.3,15.8,1.16,15.07
2008-11-08,0.00,29.0,45.3,61.7,16.9,1.66,16.21
2008-11-09,0.00,31.0,48.9,66.8,24.7,1.34,18.58
2008-11-10,0.03,33.9,47.9,62.0,35.5,0.87,11.33
2008-11-11,0.00,32.1,48.7,65.3,33.2,0.43,15.39
2008-11-12,0.00,30.1,44.9,59.8,33.0,0.25,10.66
2008-11-13,0.00,30.8,46.7,62.5,34.9,0.31,12.79
2008-11-14,0.00,35.9,53.1,70.3,33.0,0.46,19.42
2008-11-15,0.00,22.1,36.8,51.5,21.6,0.53,8.73
2008-11-16,0.00,22.6,37.0,51.5,15.7,1.08,9.98
2008-11-17,0.00,35.0,53.1,71.3,20.2,3.59,22.65
2008-11-18,0.00,27.5,43.3,59.1,28.9,0.28,11.21
2008-11-19,0.00,29.1,48.3,67.6,29.5,0.46,17.21
2008-11-20,0.00,28.8,52.7,76.6,27.4,0.93,27.13
2008-11-21,0.00,19.0,30.5,42.0,21.7,0.32,4.92
2008-11-22,0.00,19.7,33.2,46.8,18.7,0.53,7.10
2008-11-23,0.00,21.6,40.3,59.1,24.4,0.57,12.51
2008-11-24,0.00,26.0,48.3,70.6,22.3,0.73,22.16
2008-11-25,0.00,26.1,41.7,57.3,23.4,0.84,11.41
2008-11-26,0.00,27.2,50.2,73.3,21.0,1.42,24.47
2008-11-27,0.00,26.2,45.8,65.4,16.3,1.56,18.85
2008-11-28,0.12,33.7,41.6,49.6,28.8,0.26,8.08
2008-11-29,0.00,32.0,37.4,42.8,34.5,0.08,2.41
2008-11-30,0.00,30.4,40.7,51.0,26.7,0.14,8.78
2008-12-01,0.00,25.4,36.6,47.9,22.8,0.37,7.57
2008-12-02,0.00,25.2,38.5,51.8,23.1,0.83,9.09
2008-12-03,0.00,32.6,51.4,70.1,26.3,1.59,20.53
2008-12-04,0.00,19.8,29.3,38.8,17.7,1.08,4.18
2008-12-05,0.00,17.4,26.7,36.0,9.3,0.73,5.26
2008-12-06,0.00,17.5,31.0,44.6,13.8,0.64,7.26
2008-12-07,0.00,25.9,44.9,63.8,16.9,1.59,17.30
2008-12-08,0.00,34.1,51.5,68.8,20.1,3.62,20.59
2008-12-09,0.00,24.8,48.4,72.0,31.1,0.00,21.53
2008-12-10,0.07,12.1,20.8,29.5,18.7,0.17,1.27
2008-12-11,0.00,9.4,25.5,41.6,20.7,0.27,4.67
2008-12-12,0.00,24.6,39.8,55.1,26.4,0.40,9.87
2008-12-13,0.00,27.0,38.6,50.3,27.5,0.48,6.97
2008-12-14,0.00,40.2,53.4,66.6,26.9,3.36,17.95
2008-12-15,0.00,7.1,34.7,62.3,11.7,0.92,14.19
2008-12-16,0.00,6.7,10.3,13.8,-3.9,0.87,1.62
2008-12-17,0.00,11.8,32.5,53.1,14.2,0.94,10.32
2008-12-18,0.00,30.3,45.6,60.9,26.8,1.36,13.65
2008-12-19,0.00,27.6,43.8,60.0,29.5,0.50,11.34
2008-12-20,0.00,27.3,41.8,56.3,18.9,1.38,12.31
2008-12-21,0.00,5.3,21.5,37.6,5.4,0.38,5.34
2008-12-22,0.00,6.1,13.7,21.4,2.3,0.40,2.12
2008-12-23,0.00,18.0,25.0,32.1,6.0,1.54,3.78
2008-12-24,0.00,14.0,38.8,63.7,23.7,0.35,15.89
2008-12-25,0.00,15.4,33.3,51.2,15.3,0.46,10.63
2008-12-26,0.00,29.0,46.6,64.3,30.3,1.42,14.38
2008-12-27,0.00,27.8,47.7,67.5,29.4,1.23,17.48
2008-12-28,0.00,13.6,25.6,37.7,11.3,0.52,4.91
2008-12-29,0.00,19.7,38.9,58.2,8.4,1.56,14.61
2008-12-30,0.00,23.3,44.7,66.2,15.6,1.46,18.88
2008-12-31,0.00,16.5,44.7,72.9,19.1,0.35,24.38
2009-01-01,0.00,17.0,32.7,48.3,15.5,0.62,8.79
2009-01-02,0.00,24.9,45.9,67.0,17.7,1.31,19.70
2009-01-03,0.00,26.8,49.0,71.2,20.3,1.68,22.35
2009-01-04,0.00,16.2,43.2,70.3,15.1,1.06,22.31
2009-01-05,0.00,13.1,22.8,32.5,1.3,1.11,4.73
2009-01-06,0.00,12.3,29.4,46.5,7.8,1.17,8.60
2009-01-07,0.00,20.6,34.4,48.2,10.6,1.51,9.10
2009-01-08,0.00,26.0,43.8,61.6,16.8,2.24,15.35
2009-01-09,0.00,27.3,45.1,63.0,23.1,1.39,14.77
2009-01-10,0.00,18.6,41.8,65.1,24.5,0.56,16.85
2009-01-11,0.00,17.3,32.2,47.0,12.1,0.70,8.40
2009-01-12,0.00,19.6,34.5,49.4,13.4,1.14,9.32
2009-01-13,0.00,12.1,29.7,47.2,13.8,0.50,7.64
2009-01-14,0.00,13.3,33.3,53.2,10.8,0.56,11.44
2009-01-15,0.00,13.3,34.5,55.7,18.0,0.33,10.80
2009-01-16,0.00,12.9,23.1,33.2,9.0,0.48,3.91
2009-01-17,0.00,16.6,36.2,55.8,19.3,0.86,11.10
