PRISM Time Series Data,
1974-02,44.9
1974-03,57.6
1974-04,62.3
1974-05,73.7
1974-06,77.5
1974-07,80.7
1974-08,74.6
1974-09,63.8
1974-10,60.5
1974-11,48.7
1974-12,40.4
1975-01,40.5
1975-02,40.7
1975-03,48.5
1975-04,58.4
1975-05,68
1975-06,77.6
1975-07,76
1975-08,77.4
1975-09,67.4
1975-10,61.9
1975-11,50.5
1975-12,43.2
1976-01,40
1976-02,51.1
1976-03,51.6
1976-04,62.3
1976-05,65.5
1976-06,76.6
1976-07,74.9
1976-08,77.6
1976-09,69.7
1976-10,54.1
1976-11,42.7
1976-12,40.5
1977-01,33.9
1977-02,45.8
1977-03,51.1
1977-04,59.6
1977-05,71.6
1977-06,78.9
1977-07,80.5
1977-08,80.1
1977-09,76.8
1977-10,63.4
1977-11,52
1977-12,44.9
1978-01,32.5
1978-02,34.1
1978-03,51.1
1978-04,65.1
1978-05,69.9
1978-06,78.4
1978-07,82.8
1978-08,78
1978-09,72
1978-10,61.8
1978-11,49.5
1978-12,38.7
1979-01,31.1
1979-02,40.9
1979-03,51.4
1979-04,60.9
1979-05,68.1
1979-06,75.5
1979-07,80.9
1979-08,76.7
1979-09,72.8
1979-10,64.6
1979-11,45
1979-12,42.4
1980-01,40.5
1980-02,43.4
1980-03,48.9
1980-04,58.1
1980-05,68.3
1980-06,82.5
1980-07,84.4
1980-08,80.9
1980-09,73.2
1980-10,60.5
1980-11,46.1
1980-12,45.1
1981-01,41.8
1981-02,44.9
1981-03,50.6
1981-04,63.1
1981-05,68
1981-06,78.8
1981-07,81.5
1981-08,76.4
1981-09,71.2
1981-10,60.7
1981-11,53.5
1981-12,44.8
1982-01,39.5
1982-02,41.2
1982-03,52.6
1982-04,58.9
1982-05,67.4
1982-06,73.4
1982-07,80
1982-08,80.5
1982-09,73.9
1982-10,60.5
1982-11,48.7
1982-12,39.2
1983-01,33.8
1983-02,42.3
1983-03,50.2
1983-04,54.5
1983-05,66.7
1983-06,73.2
1983-07,80.8
1983-08,80.6
1983-09,74.3
1983-10,63.6
1983-11,52.1
1983-12,31.3
1984-01,37.1
1984-02,44.8
1984-03,49
1984-04,57.3
1984-05,70.3
1984-06,76.9
1984-07,78.4
1984-08,77.8
1984-09,69.1
1984-10,58.3
1984-11,49.7
1984-12,44
1985-01,36.4
1985-02,40.3
1985-03,52.5
1985-04,62.6
1985-05,70.3
1985-06,74.9
1985-07,79.2
1985-08,81.2
1985-09,71.6
1985-10,60.5
1985-11,50.2
1985-12,38
1986-01,44.1
1986-02,45.8
1986-03,55.1
1986-04,63.9
1986-05,69.6
1986-06,75.1
1986-07,80.8
1986-08,77.7
1986-09,71.1
1986-10,59.3
1986-11,47.4
1986-12,40.7
1987-01,38.4
1987-02,45
1987-03,47.3
1987-04,58.1
1987-05,68.3
1987-06,75.4
1987-07,78.5
1987-08,78.7
1987-09,70.1
1987-10,62
1987-11,49.8
1987-12,39.6
1988-01,35.4
1988-02,42.3
1988-03,49.8
1988-04,58.7
1988-05,68
1988-06,76.8
1988-07,78.4
1988-08,78.6
1988-09,71.3
1988-10,62
1988-11,52.3
1988-12,41.3
1989-01,43.7
1989-02,38.8
1989-03,53.6
1989-04,64.1
1989-05,72.3
1989-06,73.7
1989-07,80.7
1989-08,78
1989-09,68.7
1989-10,63.9
1989-11,50.8
1989-12,35.2
1990-01,42.8
1990-02,46.9
1990-03,50.5
1990-04,60.3
1990-05,68.2
1990-06,83.4
1990-07,77.1
1990-08,77.1
1990-09,73.5
1990-10,60.9
1990-11,53.2
1990-12,38.9
1991-01,37.4
1991-02,48.1
1991-03,53.7
1991-04,62.4
1991-05,73.3
1991-06,77.6
1991-07,78.8
1991-08,77.6
1991-09,68
1991-10,62.8
1991-11,44.7
1991-12,42.7
1992-01,39.4
1992-02,48.2
1992-03,54.9
1992-04,61.3
1992-05,66.9
1992-06,75
1992-07,80.2
1992-08,76.1
1992-09,72.5
1992-10,63.8
1992-11,46.9
1992-12,41.3
1993-01,38.3
1993-02,41.9
1993-03,50.2
1993-04,59.4
1993-05,68.9
1993-06,78.1
1993-07,82.1
1993-08,80.2
1993-09,70.9
1993-10,59.6
1993-11,45.1
1993-12,43.1
1994-01,40.8
1994-02,42.1
1994-03,52.6
1994-04,60.1
1994-05,68.5
1994-06,82.4
1994-07,82.1
1994-08,80.1
1994-09,72.5
1994-10,62.9
1994-11,51.6
1994-12,45.5
1995-01,41.9
1995-02,48.1
1995-03,50.8
1995-04,59.3
1995-05,68
1995-06,76.7
1995-07,82.2
1995-08,79.7
1995-09,70.5
1995-10,61.7
1995-11,51.7
1995-12,42.8
1996-01,40.2
1996-02,46.7
1996-03,47.6
1996-04,60.2
1996-05,76.7
1996-06,79.1
1996-07,80.4
1996-08,77.5
1996-09,69.2
1996-10,61.2
1996-11,49.9
1996-12,43.7
1997-01,38.2
1997-02,41.7
1997-03,53.5
1997-04,53.7
1997-05,66.6
1997-06,74.2
1997-07,80.2
1997-08,78.7
1997-09,74.6
1997-10,61.2
1997-11,46.5
1997-12,37.8
1998-01,43.8
1998-02,44.3
1998-03,47.6
1998-04,57.3
1998-05,74.1
1998-06,81.7
1998-07,84.6
1998-08,78
1998-09,76.7
1998-10,64.9
1998-11,52.9
1998-12,41.9
1999-01,43.8
1999-02,50.2
1999-03,50
1999-04,60.2
1999-05,67
1999-06,75.5
1999-07,80.3
1999-08,82
1999-09,70.8
1999-10,60.9
1999-11,55.4
1999-12,41.9
2000-01,43.8
2000-02,50.4
2000-03,53.9
2000-04,61.4
2000-05,74.2
2000-06,74.8
2000-07,81.1
2000-08,81.5
2000-09,75.1
2000-10,62.4
2000-11,43.6
2000-12,36.4
2001-01,37.2
2001-02,44.9
2001-03,47.5
2001-04,63.4
2001-05,70.6
2001-06,80.1
2001-07,85.1
2001-08,80
2001-09,72.3
2001-10,61.6
2001-11,53.2
2001-12,43.5
2002-01,42.5
2002-02,42
2002-03,48.5
2002-04,62.4
2002-05,70
2002-06,78.8
2002-07,79.5
2002-08,81.5
2002-09,72.7
2002-10,59.1
2002-11,47.4
2002-12,42.1
2003-01,41.9
2003-02,42.6
2003-03,52.8
2003-04,62.6
2003-05,70.8
2003-06,74.5
2003-07,81.8
2003-08,81.6
2003-09,70.5
2003-10,65.2
2003-11,51.7
2003-12,44
2004-01,42.5
2004-02,41.7
2004-03,56
2004-04,60
2004-05,71.9
2004-06,76.7
2004-07,78.9
2004-08,76
2004-09,70.6
2004-10,62.7
2004-11,47.9
2004-12,42
2005-01,44
2005-02,45.5
2005-03,50.1
2005-04,59.2
2005-05,67.9
2005-06,78.5
2005-07,79.4
2005-08,77
2005-09,75.6
2005-10,62.1
2005-11,52.2
2005-12,41.3
2006-01,47.1
2006-02,44.6
2006-03,53.5
2006-04,65.7
2006-05,73.6
2006-06,79.8
2006-07,82.2
2006-08,80.2
2006-09,68.6
2006-10,61.3
2006-11,52.3
2006-12,41
2007-01,35.6
2007-02,42.7
2007-03,55.5
2007-04,55.2
2007-05,65.9
2007-06,74.1
2007-07,76.9
2007-08,78.9
2007-09,73.7
2007-10,64.4
2007-11,50.4
2007-12,42.2
2008-01,39.4
2008-02,45.5
2008-03,51.6
2008-04,59.5
2008-05,68.9
2008-06,80.5
2008-07,78.4
2008-08,77.1
2008-09,67.9
2008-10,60.8
2008-11,51.1
2008-12,42.3
2009-01,41.7
2009-02,48.5
2009-03,54.1
2009-04,59.5
2009-05,68.3
2009-06,78.2
2009-07,80.5
2009-08,79.9
2009-09,69.3
2009-10,57.9
2009-11,52.1
2009-12,35.5
2010-01,38.3
2010-02,38.2
2010-03,49.7
2010-04,59.9
2010-05,67.6
2010-06,80.1
2010-07,76.5
2010-08,80.4
2010-09,73.7
2010-10,62.4
2010-11,50.2
2010-12,45.1
2011-01,39
2011-02,40.5
2011-03,55.4
2011-04,64.6
2011-05,69.6
2011-06,84.9
2011-07,86
2011-08,85.5
2011-09,72
2011-10,62.1
2011-11,49.6
2011-12,37.7
2012-01,43.7
2012-02,44
2012-03,57.4
2012-04,66.8
2012-05,72.9
2012-06,79.9
2012-07,81.6
2012-08,81.5
2012-09,72.6
2012-10,61
2012-11,54.8
2012-12,43.4
2013-01,40.8
2013-02,43.5
2013-03,52.2
2013-04,58.1
2013-05,70.5
2013-06,79.8
2013-07,78.7
2013-08,80
2013-09,74.7
2013-10,61.7
2013-11,48.1
2013-12,39.9
2014-01,39.9
2014-02,41.8
2014-03,50
2014-04,61.3
2014-05,68.4
2014-06,77.7
2014-07,79.1
2014-08,79.8
2014-09,70.8
2014-10,64.1
2014-11,46.1
2014-12,44.8
2015-01,37.7
2015-02,44.1
2015-03,51
2015-04,62
2015-05,66
2015-06,76.3
2015-07,80.1
2015-08,80
2015-09,76.2
2015-10,64.1
2015-11,51
2015-12,44.2
2016-01,40.9
2016-02,48.7
2016-03,57
2016-04,61.8
2016-05,68.1
2016-06,78
2016-07,84.8
2016-08,78.5
2016-09,73.2
2016-10,67
2016-11,55.3
2016-12,42
2017-01,43.2
2017-02,51.6
2017-03,58.5
2017-04,62.8
2017-05,68.3
2017-06,79.5
2017-07,81.1
2017-08,76.4
2017-09,73.2
2017-10,61.9
2017-11,54.4
2017-12,43.1
2018-01,39.1
2018-02,45.1
2018-03,56.2
2018-04,59.1
2018-05,77.4
2018-06,82.5
2018-07,82.6
2018-08,81
2018-09,72.5
2018-10,59.8
2018-11,46.5
2018-12,41.2
2019-01,42.7
2019-02,45.7
2019-03,49
2019-04,61.3
2019-05,67.8
2019-06,76.7
2019-07,82.2
2019-08,84.6
2019-09,77.8
2019-10,58.9
2019-11,48
2019-12,45.8
2020-01,44.9
2020-02,42.4
2020-03,56
2020-04,61
2020-05,72.7
2020-06,79.1
2020-07,85.2
2020-08,83.2
2020-09,70
2020-10,60.8
2020-11,55.4
2020-12,42.6
